sl no,Trawler Name,Fishing Days,Sardine,Croaker,Ribbon,Grunter,Scads,Mackrel,Sole/Flat,Cat fish,Red Snapper,Big Eye,Hilsha,Pomfret,Red fish / Rupban,Eel,Shark/Rays,Cuttle/Squid,Kawa Tuna,Bullet Tuna,Frigate Tuna,Skipjack Tuna,Others Tuna,BombayDuck,Marinemammal,Others,Total,Shrimp CatchKg
95,FV Q. N -2,150,1107062,6453,10106,745,11978,23504,0,4756,1034,6580,498,1422,1312,1042,1040,856,0,0,65,0,0,958,0,43095,1222506,1094
96,FV  FMC Oishi,170,109176,67989,64196,583,79017,41477,528,68787,0,167578,4847,12228,1234,3173,1215,4124,0,0,0,0,171,16728,0,290496,933547,8355
97,FV Muse Nawshin,100,76632,24004,25587,241,27300,23910,420,9206,1331,16434,14027,2094,25914,1552,538,7013,63,534,0,179,21,12177,0,171631,440808,9023
98,FV Laila-1(Eurstr-2),189,390145,22616,51403,120,74609,95276,230,27341,0,24460,43646,3785,1576,1508,2372,4126,0,0,42,0,1085,25807,0,524758,1294905,8096
99,FV Shimanta-1,177,247789,12888,42350,25,218475,94529,0,85310,5365,76916,46611,1884,232,341,207,2125,0,0,0,1461,1342,10774,0,332778,1181402,1976
100,FV Radiance 1,168,238780,16421,47235,77,228147,55301,63,65518,53,38690,53654,3216,789,374,1330,4984,82,20,1968,22,23,9319,25,203680,969771,3615
101,FV J. A.S. Fisher,159,208530,25031,53329,36,40263,41086,1022,16604,227,110337,10433,3281,15731,1187,973,3518,0,0,278,0,673,9452,0,226964,768955,5622
102,FV Alliance 3,187,392442,36607,47304,886,97729,78724,0,45981,80,102202,3916,5281,1662,1581,1211,3598,762,225,255,0,2253,22645,0,452659,1298003,3337
103,FV Alliance 2,186,343528,19742,30793,305,106534,49887,192,19946,149,54157,625,2402,1723,991,1169,7931,370,835,0,0,1016,19531,0,352021,1013847,2967
104,FV  Partex-1,175,418153,22028,44077,0,61853,49409,300,36507,0,158929,14850,6290,2410,1341,890,6575,0,0,0,0,40,17550,0,505348,1346550,4133
105,FV MJ-2(CML Labiba-2),109,76592,35242,37391,1503,23593,48518,609,10584,15,10377,9673,5403,21374,1704,45,1715,135,378,0,0,1502,14459,0,69095,369907,6862
106,FV  Misty,172,333141,23605,60476,492,220486,85252,0,89644,977,50760,28851,5306,1058,750,0,5013,0,794,4560,0,0,13792,0,255807,1180764,1806
107,FV  Voyger,139,181075,20053,37286,20,52012,38166,0,20476,123,164986,11263,4662,7687,2454,81,3001,0,0,41,0,0,18673,0,327458,889517,4535
108,FV  Salman-1,164,11356,18055,19874,43,17792,24125,2912,11171,942,15106,4086,2337,32828,663,599,2162,63,0,0,0,0,2249,0,108212,274575,4056
109,FV  Farzan,87,171547,20366,21551,165,31356,38028,123,9474,41,13807,30929,4995,1287,846,1238,2963,21,0,42,0,0,12889,0,134817,496485,8649
110,FV  Salman-2,63,31165,14338,10140,0,13138,9754,574,3102,22,2624,1510,1297,3183,64,165,474,0,0,0,0,0,10465,0,42157,144172,585
111,FV  Salman-3,144,34003,24934,27795,0,7654,4431,190,3295,0,2110,747,826,53660,105,0,1371,0,0,0,0,0,7000,0,105225,273346,961
112,FV  Suravi-1,179,161086,17025,32740,20,79644,49231,82,54655,0,83532,20273,2953,815,530,245,4072,0,2262,102,0,0,8539,0,324056,841862,3648
113,FV  Suravi-2,151,183715,7489,58218,0,64836,21393,0,19526,0,17651,11814,3280,0,0,0,325,0,0,0,0,0,5979,0,124445,518671,82
114,FV  Sea Star,171,240260,24494,55312,245,159031,73946,0,64041,76,108832,44291,6803,2276,1365,1230,9020,0,0,3360,0,0,13085,0,263539,1071206,2080
115,FV Marine-8,124,57060,20568,22558,6390,23894,9615,398,16397,82,4300,2723,2730,595,1230,22,1584,310,0,0,0,0,11102,0,104863,286421,3977
116,FV Marine-11,186,120895,14026,39615,0,47640,12892,991,38810,42,21883,21745,4547,6238,2049,520,1143,0,645,0,0,0,11997,0,366120,711798,5146
117,FV Silver Sea-‍ 1,167,120080,38860,48859,238,51322,29780,1655,25672,93,58001,13893,10021,45405,1089,587,16366,0,0,0,0,0,12001,0,469613,943535,5434
118,FV Edden-1(Pensula-1),156,285183,17725,31644,140,54838,53459,2128,34053,15955,94512,8640,2409,23278,204,600,1646,0,0,0,0,2080,8332,0,247730,884556,2431
119,FV Edden-2(Pensula-3),155,82572,21289,30396,281,28949,40098,651,8878,4688,18576,4514,3716,18420,490,2386,3193,1616,0,0,0,1874,11609,0,260336,544532,4003
120,FV Meghna-7(AHM-1),19,3008,1585,1512,0,2985,416,782,396,0,505,175,42,942,48,0,581,0,0,0,0,0,2838,0,9138,24953,6088
121,FV Pacific Eagle-1,43,77739,18034,6997,168,46521,20493,75,17378,90,10137,0,228,1948,381,2208,3720,0,240,16,390,0,160,0,108505,315428,716
